==2304853== Memcheck, a memory error detector
==2304853== Copyright (C) 2002-2017, and GNU GPL'd, by Julian Seward et al.
==2304853== Using Valgrind-3.16.1 and LibVEX; rerun with -h for copyright info
==2304853== Command: ./target/release/insertion_sort
==2304853== 
100, 0.001203541
200, 0.000457428
300, 0.000754075
400, 0.004819972
500, 0.002413623
600, 0.003192109
700, 0.004301661
800, 0.005453649
900, 0.007081486
1000, 0.008480588
1100, 0.011409347
1200, 0.012060642
1300, 0.015358935
1400, 0.020691821
1500, 0.019809224
1600, 0.023610013
1700, 0.025349217
1800, 0.030637305
1900, 0.030209672
2000, 0.033093967
2100, 0.041386615
2200, 0.04087611
2300, 0.047864202
2400, 0.048406072
2500, 0.05871532
2600, 0.06686707
2700, 0.0721851
2800, 0.07907536
2900, 0.07705354
3000, 0.08317057
3100, 0.088675655
3200, 0.09360734
3300, 0.097283006
3400, 0.10665608
3500, 0.11159475
3600, 0.11344536
3700, 0.12530497
3800, 0.14686297
3900, 0.13084961
4000, 0.13542597
4100, 0.1431827
4200, 0.15958871
4300, 0.20419529
4400, 0.18978477
4500, 0.19769277
4600, 0.18517092
4700, 0.19086906
4800, 0.20597325
4900, 0.28970456
5000, 0.2675286
5100, 0.2897557
5200, 0.27850002
5300, 0.29046714
5400, 0.29873398
5500, 0.46240142
5600, 0.4136048
5700, 0.2795322
5800, 0.30957827
5900, 0.2989092
6000, 0.30949625
6100, 0.33900368
6200, 0.3347856
6300, 0.3461746
6400, 0.36487395
6500, 0.43548506
6600, 0.38158023
6700, 0.3950045
6800, 0.39878562
6900, 0.42919955
7000, 0.41660234
7100, 0.4357602
7200, 0.4341591
7300, 0.44786575
7400, 0.47960997
7500, 0.48584515
7600, 0.5139811
7700, 0.5050897
7800, 0.5580903
7900, 0.8997414
8000, 0.5466756
8100, 0.6088103
8200, 0.593445
8300, 0.57440984
8400, 0.6265297
8500, 0.6181815
8600, 0.65504694
8700, 0.6580062
8800, 0.6545588
8900, 0.68126196
9000, 0.70774204
9100, 0.7033556
9200, 0.70991474
9300, 0.752787
9400, 1.2211416
9500, 0.84047484
9600, 0.8842657
9700, 0.8040904
9800, 0.82130194
9900, 0.8468176
10000, 0.960838
10100, 0.88021684
10200, 0.9125011
10300, 0.9348271
10400, 1.0633411
10500, 1.3676797
10600, 0.987887
10700, 0.9880779
10800, 1.0431631
10900, 1.0855155
11000, 1.0803062
11100, 1.0610873
11200, 1.1067333
11300, 1.0718749
11400, 1.5971475
11500, 1.1285889
11600, 1.1311151
11700, 1.1637117
11800, 1.1862035
11900, 1.2438333
12000, 1.383735
12100, 1.4020383
12200, 1.8047167
12300, 1.3612611
12400, 1.389851
12500, 1.455293
12600, 1.461456
12700, 1.4463611
12800, 1.8811574
12900, 1.5744703
13000, 1.7635374
13100, 1.5446789
13200, 1.5984712
13300, 1.5933478
13400, 2.059736
13500, 1.7058694
13600, 1.7736535
13700, 1.7037604
13800, 1.8384869
13900, 1.7760506
14000, 2.0978928
14100, 1.7797036
14200, 1.928402
14300, 1.8670287
14400, 1.9830785
14500, 2.5638924
14600, 2.064943
14700, 1.9786282
14800, 1.9459902
14900, 2.3810713
15000, 2.071743
15100, 2.1542664
15200, 2.0981157
15300, 2.1940331
15400, 2.4953766
15500, 2.199492
15600, 2.1562
15700, 2.2279234
15800, 2.5289347
15900, 2.2649894
16000, 2.3226938
16100, 2.214807
16200, 2.2541053
16300, 2.6858602
16400, 2.3832598
16500, 2.4342892
16600, 2.5110488
16700, 2.9115324
16800, 2.544855
16900, 2.591825
17000, 3.221755
17100, 2.7841187
17200, 2.6518726
17300, 2.6314821
17400, 2.9871485
17500, 2.6654565
17600, 2.7300854
17700, 3.0921006
17800, 2.8679218
17900, 3.0073938
18000, 3.021288
18100, 3.4418137
18200, 3.2037282
18300, 3.1578863
18400, 3.6103399
18500, 3.0648606
18600, 3.3852727
18700, 3.4860432
18800, 3.2192047
18900, 3.1674037
19000, 3.5274947
19100, 3.1323576
19200, 3.1726902
19300, 3.6328
19400, 3.5781765
19500, 3.3507376
19600, 3.729362
19700, 3.4547272
19800, 4.117012
19900, 3.7855048
20000, 3.8212643
20100, 5.047478
20200, 3.7518375
20300, 4.197576
20400, 3.7307458
20500, 3.843454
20600, 4.286763
20700, 3.8467107
20800, 4.292438
20900, 3.9070032
21000, 3.893646
21100, 4.425131
21200, 4.769412
21300, 4.924328
21400, 4.0410824
21500, 4.7191625
21600, 4.291646
21700, 4.8149633
21800, 4.5754113
21900, 4.9066095
22000, 4.5006914
22100, 4.2652464
22200, 4.8265963
22300, 4.4144144
22400, 5.001853
22500, 4.8758817
22600, 5.094918
22700, 5.1556616
22800, 5.493782
22900, 5.030932
23000, 5.6646423
23100, 4.929367
23200, 5.0424414
23300, 4.9519777
23400, 5.022494
23500, 5.1147056
23600, 4.854252
23700, 5.223711
23800, 5.007153
23900, 5.3229747
24000, 5.0828743
24100, 5.437201
24200, 5.171234
24300, 5.5418644
24400, 5.2504063
24500, 5.381941
24600, 5.266392
24700, 5.425833
24800, 5.3080144
24900, 5.569446
25000, 5.4511952
==2304853== 
==2304853== HEAP SUMMARY:
==2304853==     in use at exit: 0 bytes in 0 blocks
==2304853==   total heap usage: 292 allocs, 292 frees, 12,566,917 bytes allocated
==2304853== 
==2304853== All heap blocks were freed -- no leaks are possible
==2304853== 
==2304853== For lists of detected and suppressed errors, rerun with: -s
==2304853== ERROR SUMMARY: 0 errors from 0 contexts (suppressed: 0 from 0)
