==1742106== Memcheck, a memory error detector
==1742106== Copyright (C) 2002-2017, and GNU GPL'd, by Julian Seward et al.
==1742106== Using Valgrind-3.16.1 and LibVEX; rerun with -h for copyright info
==1742106== Command: ./execs/merge_sort
==1742106== 
100, 0.0013500397
200, 0.0020433003
300, 0.001822086
400, 0.0024511232
500, 0.0040083877
600, 0.0044508423
700, 0.008048611
800, 0.009460472
900, 0.008110795
1000, 0.011283119
1100, 0.009528729
1200, 0.009578064
1300, 0.011049699
1400, 0.010380867
1500, 0.011637291
1600, 0.013038548
1700, 0.011923411
1800, 0.012739532
1900, 0.014436265
2000, 0.014953952
2100, 0.01703717
2200, 0.017138807
2300, 0.01888024
2400, 0.018714499
2500, 0.022246908
2600, 0.02159784
2700, 0.034223456
2800, 0.023465239
2900, 0.023655046
3000, 0.022400832
3100, 0.022404393
3200, 0.023919329
3300, 0.023909636
3400, 0.025479639
3500, 0.027362317
3600, 0.031057201
3700, 0.030914456
3800, 0.028435145
3900, 0.028602628
4000, 0.02974294
4100, 0.030958278
4200, 0.031203644
4300, 0.032464188
4400, 0.03575127
4500, 0.034554534
4600, 0.03518741
4700, 0.036098905
4800, 0.036827445
4900, 0.03641644
5000, 0.038800888
5100, 0.042001065
5200, 0.03967567
5300, 0.039649658
5400, 0.041238803
5500, 0.041998092
5600, 0.042782594
5700, 0.04649347
5800, 0.04542307
5900, 0.0453288
6000, 0.06696637
6100, 0.07159922
6200, 0.050015416
6300, 0.048699502
6400, 0.04910478
6500, 0.050242543
6600, 0.053055335
6700, 0.052273884
6800, 0.05279833
6900, 0.05324988
7000, 0.054053992
7100, 0.061082337
7200, 0.05943858
7300, 0.056533664
7400, 0.057373308
7500, 0.062301308
7600, 0.06377222
7700, 0.07356417
7800, 0.063199826
7900, 0.089159444
8000, 0.09823138
8100, 0.07710703
8200, 0.088573195
8300, 0.07085839
8400, 0.0691273
8500, 0.06928904
8600, 0.06811319
8700, 0.07071459
8800, 0.1006816
8900, 0.079923764
9000, 0.08636424
9100, 0.07898383
9200, 0.08057031
9300, 0.08008088
9400, 0.082393646
9500, 0.07692958
9600, 0.09667542
9700, 0.1060099
9800, 0.07732445
9900, 0.0782234
10000, 0.08212476
10100, 0.08052497
10200, 0.08153591
10300, 0.08241479
10400, 0.09272353
10500, 0.08488712
10600, 0.08764319
10700, 0.084839836
10800, 0.08762038
10900, 0.10481394
11000, 0.10215221
11100, 0.103983186
11200, 0.11242773
11300, 0.10992733
11400, 0.11616995
11500, 0.10198125
11600, 0.12041471
11700, 0.10114461
11800, 0.10193477
11900, 0.10170868
12000, 0.10204144
12100, 0.10602161
12200, 0.1459783
12300, 0.107634164
12400, 0.1030281
12500, 0.11149186
12600, 0.104918376
12700, 0.117638916
12800, 0.1150329
12900, 0.11164377
13000, 0.11041489
13100, 0.1092135
13200, 0.11603138
13300, 0.1099212
13400, 0.116869785
13500, 0.11308642
13600, 0.11717788
13700, 0.115556665
13800, 0.119320765
13900, 0.113617584
14000, 0.115785226
14100, 0.11810106
14200, 0.12203686
14300, 0.11908359
14400, 0.16751765
14500, 0.122242555
14600, 0.12476337
14700, 0.12337527
14800, 0.12410812
14900, 0.12482252
15000, 0.13781726
15100, 0.12464929
15200, 0.13191995
15300, 0.13472445
15400, 0.13452102
15500, 0.12792803
15600, 0.13603485
15700, 0.13075009
15800, 0.13476141
15900, 0.1360027
16000, 0.13740504
16100, 0.13802584
16200, 0.14228612
16300, 0.22280358
16400, 0.14122328
16500, 0.14064184
16600, 0.14197879
16700, 0.14412218
16800, 0.14542302
16900, 0.14138004
17000, 0.14643198
17100, 0.14436817
17200, 0.14715165
17300, 0.15291809
17400, 0.14640427
17500, 0.15890402
17600, 0.15997118
17700, 0.14800781
17800, 0.15645257
17900, 0.27086538
18000, 0.16199379
18100, 0.15465197
18200, 0.15955265
18300, 0.15587683
18400, 0.15792443
18500, 0.17165384
18600, 0.15689124
18700, 0.16052163
18800, 0.16457738
18900, 0.16158397
19000, 0.17106333
19100, 0.1643151
19200, 0.16066049
19300, 0.16589747
19400, 0.2584382
19500, 0.17955542
19600, 0.16848376
19700, 0.18163957
19800, 0.17156349
19900, 0.17472506
20000, 0.16963667
20100, 0.17329814
20200, 0.18207704
20300, 0.17669654
20400, 0.17488557
20500, 0.19619027
20600, 0.17816687
20700, 0.22857192
20800, 0.21769288
20900, 0.17942569
21000, 0.18984324
21100, 0.18362628
21200, 0.17825454
21300, 0.18369126
21400, 0.18298988
21500, 0.19263771
21600, 0.18372494
21700, 0.18861397
21800, 0.19215739
21900, 0.19998029
22000, 0.24852005
22100, 0.21966669
22200, 0.19062766
22300, 0.19899094
22400, 0.1960088
22500, 0.20069054
22600, 0.19410503
22700, 0.19711907
22800, 0.20634133
22900, 0.20161064
23000, 0.2054625
23100, 0.20267744
23200, 0.26966465
23300, 0.2572803
23400, 0.20483477
23500, 0.21855594
23600, 0.20876276
23700, 0.20822158
23800, 0.20720991
23900, 0.21159089
24000, 0.21152641
24100, 0.21248728
24200, 0.20958538
24300, 0.22402078
24400, 0.30740184
24500, 0.22039364
24600, 0.21825263
24700, 0.21507476
24800, 0.22355595
24900, 0.21761023
25000, 0.22084567
==1742106== 
==1742106== HEAP SUMMARY:
==1742106==     in use at exit: 0 bytes in 0 blocks
==1742106==   total heap usage: 12,549,292 allocs, 12,549,292 frees, 713,067,461 bytes allocated
==1742106== 
==1742106== All heap blocks were freed -- no leaks are possible
==1742106== 
==1742106== For lists of detected and suppressed errors, rerun with: -s
==1742106== ERROR SUMMARY: 0 errors from 0 contexts (suppressed: 0 from 0)
