==2507696== Memcheck, a memory error detector
==2507696== Copyright (C) 2002-2017, and GNU GPL'd, by Julian Seward et al.
==2507696== Using Valgrind-3.16.1 and LibVEX; rerun with -h for copyright info
==2507696== Command: ./target/release/quick_sort
==2507696== 
100, 0.002520524
200, 0.005532317
300, 0.00500013
400, 0.009653113
500, 0.015304222
600, 0.022208152
700, 0.031630907
800, 0.0474753
900, 0.052638143
1000, 0.068796255
1100, 0.08971212
1200, 0.101377934
1300, 0.1292038
1400, 0.15441684
1500, 0.14936376
1600, 0.17304975
1700, 0.18996897
1800, 0.21769144
1900, 0.49834654
2000, 0.5788764
2100, 0.59690106
2200, 0.36719456
2300, 0.42112
2400, 0.36299372
2500, 0.46021864
2600, 0.44693434
2700, 0.73984236
2800, 0.5239388
2900, 0.7464849
3000, 0.59350526
3100, 0.5920653
3200, 0.76464677
3300, 0.8677134
3400, 0.9475923
3500, 1.2231029
3600, 0.8714958
3700, 0.949834
3800, 1.2195162
3900, 1.9298558
4000, 1.7227604
4100, 1.2031476
4200, 1.5481539
4300, 1.9598107
4400, 1.4728577
4500, 1.5326903
4600, 1.71824
4700, 1.582563
4800, 1.8660204
4900, 2.0294719
5000, 2.102438
5100, 1.990969
5200, 2.2181203
5300, 2.8509676
5400, 1.9830186
5500, 2.3362205
5600, 2.1973424
5700, 2.397245
5800, 2.3899794
5900, 2.2981653
6000, 2.3319366
6100, 2.432794
6200, 2.99939
6300, 2.7337036
6400, 2.7899947
6500, 2.972005
6600, 3.1601229
6700, 2.9993892
6800, 3.2580776
6900, 3.5897427
7000, 3.5915117
7100, 3.9085922
7200, 3.6038685
7300, 3.7533908
7400, 4.196439
7500, 3.7398665
7600, 4.0529323
7700, 3.762671
7800, 5.9737906
7900, 4.342021
8000, 4.616715
8100, 4.5907626
8200, 4.5079203
8300, 5.224763
8400, 5.0617375
8500, 5.4447985
8600, 5.3517404
8700, 5.6250477
8800, 5.5438275
8900, 5.806819
9000, 6.0038686
9100, 5.5239344
9200, 5.5111814
9300, 5.4130116
9400, 5.7456574
9500, 5.8251553
9600, 5.6270137
9700, 6.0978193
9800, 6.130912
9900, 6.496132
10000, 6.4687724
10100, 6.4399157
10200, 6.5797014
10300, 6.8574896
10400, 6.799562
10500, 6.9992504
10600, 7.9390287
10700, 7.255128
10800, 7.199072
10900, 7.7378435
11000, 7.914001
11100, 7.750186
11200, 7.7542615
11300, 8.267051
11400, 8.214604
11500, 8.405216
11600, 8.788353
11700, 9.077302
11800, 9.106652
11900, 10.5873
12000, 9.126816
12100, 10.166825
12200, 9.837315
12300, 10.506597
12400, 9.89668
12500, 9.391428
12600, 11.020526
12700, 11.464474
12800, 11.379101
12900, 12.015862
13000, 11.456427
13100, 12.68039
13200, 12.34421
13300, 14.687709
13400, 12.770172
13500, 13.389272
13600, 13.042965
13700, 12.980711
13800, 14.556101
13900, 13.733975
14000, 13.436149
14100, 13.498729
14200, 14.579037
14300, 15.578582
14400, 13.85006
14500, 14.512683
14600, 14.979581
14700, 14.60553
14800, 14.808189
14900, 15.47432
15000, 15.906731
15100, 14.247045
15200, 13.95753
15300, 15.079766
15400, 14.710128
15500, 15.145769
15600, 14.538485
15700, 15.4092865
15800, 15.1434
15900, 16.024654
16000, 15.641524
16100, 15.989958
16200, 15.871844
16300, 16.899069
16400, 16.866108
16500, 16.5757
16600, 16.485977
16700, 16.796412
16800, 16.986317
16900, 17.570026
17000, 17.567589
17100, 17.87606
17200, 17.566387
17300, 18.278936
17400, 17.891695
17500, 18.257818
17600, 18.304184
17700, 19.012566
17800, 18.66238
17900, 18.87792
18000, 19.442785
18100, 19.471748
18200, 19.634275
18300, 20.07563
18400, 20.20707
18500, 20.687145
18600, 20.863272
18700, 20.86746
18800, 21.085379
18900, 21.093096
19000, 21.3271
19100, 21.680733
19200, 21.57728
19300, 22.27475
19400, 23.084297
19500, 23.266298
19600, 23.524343
19700, 24.078823
19800, 23.803497
19900, 24.989779
20000, 24.3813
20100, 25.055456
20200, 24.71831
20300, 25.40958
20400, 25.114632
20500, 25.907131
20600, 25.779991
20700, 26.49235
20800, 26.799131
20900, 26.311531
21000, 27.0231
21100, 27.686539
21200, 27.917627
21300, 27.385845
21400, 27.267214
21500, 27.801273
21600, 28.114304
21700, 27.880762
21800, 28.106022
21900, 28.697931
22000, 28.724977
22100, 28.929434
22200, 29.1968
22300, 30.034185
22400, 29.6731
22500, 30.071274
22600, 30.450794
22700, 30.626673
22800, 30.70752
22900, 31.085968
23000, 31.240372
23100, 31.47451
23200, 32.05806
23300, 32.721912
23400, 33.210995
23500, 33.82691
23600, 34.168613
23700, 33.881203
23800, 35.019318
23900, 34.42567
24000, 35.63373
24100, 35.40736
24200, 35.900288
24300, 35.38568
24400, 36.3584
24500, 36.596634
24600, 36.54812
24700, 36.48064
24800, 36.59771
24900, 36.512394
25000, 37.264206
==2507696== 
==2507696== HEAP SUMMARY:
==2507696==     in use at exit: 0 bytes in 0 blocks
==2507696==   total heap usage: 292 allocs, 292 frees, 12,566,917 bytes allocated
==2507696== 
==2507696== All heap blocks were freed -- no leaks are possible
==2507696== 
==2507696== For lists of detected and suppressed errors, rerun with: -s
==2507696== ERROR SUMMARY: 0 errors from 0 contexts (suppressed: 0 from 0)
